"","country1","country2","year","exports"
"1","United States of America","Haiti",1900,NA
"2","United States of America","Dominican Republic",1900,NA
"3","United States of America","Mexico",1900,17.08
"4","United States of America","Guatemala",1900,NA
"5","United States of America","Honduras",1900,NA
"6","United States of America","El Salvador",1900,NA
"7","United States of America","Nicaragua",1900,NA
"8","United States of America","Colombia",1900,3.09
"9","United States of America","Venezuela",1900,3.22
"10","United States of America","Ecuador",1900,1.63
"11","United States of America","Peru",1900,1.44
"12","United States of America","Brazil",1900,11.57
"13","United States of America","Bolivia",1900,0.33
"14","United States of America","Paraguay",1900,NA
"15","United States of America","Chile",1900,5.28
"16","United States of America","Argentina",1900,11.28
"17","United States of America","Uruguay",1900,2.2
"18","United States of America","United Kingdom",1900,668.86
"19","United States of America","Netherlands",1900,83.84
"20","United States of America","Belgium",1900,50
"21","United States of America","France",1900,76.43
"22","United States of America","Switzerland",1900,0.25
"23","United States of America","Spain",1900,15.45
"24","United States of America","Portugal",1900,6.83
"25","United States of America","Germany",1900,188.35
"26","United States of America","Austria-Hungary",1900,6.96
"27","United States of America","Italy",1900,34.27
"28","United States of America","Yugoslavia",1900,NA
"29","United States of America","Greece",1900,0.69
"30","United States of America","Romania",1900,0.17
"31","United States of America","Russia",1900,8.03
"32","United States of America","Sweden",1900,11.83
"33","United States of America","Denmark",1900,20.14
"34","United States of America","Ethiopia",1900,NA
"35","United States of America","Morocco",1900,NA
"36","United States of America","Iran",1900,NA
"37","United States of America","Turkey",1900,0.19
"38","United States of America","China",1900,10.28
"39","United States of America","Korea",1900,NA
"40","United States of America","Japan",1900,9
"41","United States of America","Thailand",1900,NA
"42","Haiti","United States of America",1900,NA
"43","Haiti","Dominican Republic",1900,NA
"44","Haiti","Mexico",1900,NA
"45","Haiti","Guatemala",1900,NA
"46","Haiti","Honduras",1900,NA
"47","Haiti","El Salvador",1900,NA
"48","Haiti","Nicaragua",1900,NA
"49","Haiti","Colombia",1900,NA
"50","Haiti","Venezuela",1900,NA
"51","Haiti","Ecuador",1900,NA
"52","Haiti","Peru",1900,NA
"53","Haiti","Brazil",1900,NA
"54","Haiti","Bolivia",1900,NA
"55","Haiti","Paraguay",1900,NA
"56","Haiti","Chile",1900,NA
"57","Haiti","Argentina",1900,NA
"58","Haiti","Uruguay",1900,NA
"59","Haiti","United Kingdom",1900,0.27
"60","Haiti","Netherlands",1900,NA
"61","Haiti","Belgium",1900,NA
"62","Haiti","France",1900,NA
"63","Haiti","Switzerland",1900,NA
"64","Haiti","Spain",1900,NA
"65","Haiti","Portugal",1900,NA
"66","Haiti","Germany",1900,NA
"67","Haiti","Austria-Hungary",1900,NA
"68","Haiti","Italy",1900,NA
"69","Haiti","Yugoslavia",1900,NA
"70","Haiti","Greece",1900,NA
"71","Haiti","Romania",1900,NA
"72","Haiti","Russia",1900,NA
"73","Haiti","Sweden",1900,NA
"74","Haiti","Denmark",1900,NA
"75","Haiti","Ethiopia",1900,NA
"76","Haiti","Morocco",1900,NA
"77","Haiti","Iran",1900,NA
"78","Haiti","Turkey",1900,NA
"79","Haiti","China",1900,NA
"80","Haiti","Korea",1900,NA
"81","Haiti","Japan",1900,NA
"82","Haiti","Thailand",1900,NA
"83","Dominican Republic","United States of America",1900,NA
"84","Dominican Republic","Haiti",1900,NA
"85","Dominican Republic","Mexico",1900,NA
"86","Dominican Republic","Guatemala",1900,NA
"87","Dominican Republic","Honduras",1900,NA
"88","Dominican Republic","El Salvador",1900,NA
"89","Dominican Republic","Nicaragua",1900,NA
"90","Dominican Republic","Colombia",1900,NA
"91","Dominican Republic","Venezuela",1900,NA
"92","Dominican Republic","Ecuador",1900,NA
"93","Dominican Republic","Peru",1900,NA
"94","Dominican Republic","Brazil",1900,NA
"95","Dominican Republic","Bolivia",1900,NA
"96","Dominican Republic","Paraguay",1900,NA
"97","Dominican Republic","Chile",1900,NA
"98","Dominican Republic","Argentina",1900,NA
"99","Dominican Republic","Uruguay",1900,NA
"100","Dominican Republic","United Kingdom",1900,0.27
"101","Dominican Republic","Netherlands",1900,NA
"102","Dominican Republic","Belgium",1900,NA
"103","Dominican Republic","France",1900,NA
"104","Dominican Republic","Switzerland",1900,NA
"105","Dominican Republic","Spain",1900,NA
"106","Dominican Republic","Portugal",1900,NA
"107","Dominican Republic","Germany",1900,NA
"108","Dominican Republic","Austria-Hungary",1900,NA
"109","Dominican Republic","Italy",1900,NA
"110","Dominican Republic","Yugoslavia",1900,NA
"111","Dominican Republic","Greece",1900,NA
"112","Dominican Republic","Romania",1900,NA
"113","Dominican Republic","Russia",1900,NA
"114","Dominican Republic","Sweden",1900,NA
"115","Dominican Republic","Denmark",1900,NA
"116","Dominican Republic","Ethiopia",1900,NA
"117","Dominican Republic","Morocco",1900,NA
"118","Dominican Republic","Iran",1900,NA
"119","Dominican Republic","Turkey",1900,NA
"120","Dominican Republic","China",1900,NA
"121","Dominican Republic","Korea",1900,NA
"122","Dominican Republic","Japan",1900,NA
"123","Dominican Republic","Thailand",1900,NA
"124","Mexico","United States of America",1900,28.85
"125","Mexico","Haiti",1900,NA
"126","Mexico","Dominican Republic",1900,NA
"127","Mexico","Guatemala",1900,NA
"128","Mexico","Honduras",1900,NA
"129","Mexico","El Salvador",1900,NA
"130","Mexico","Nicaragua",1900,NA
"131","Mexico","Colombia",1900,NA
"132","Mexico","Venezuela",1900,NA
"133","Mexico","Ecuador",1900,NA
"134","Mexico","Peru",1900,NA
"135","Mexico","Brazil",1900,NA
"136","Mexico","Bolivia",1900,NA
"137","Mexico","Paraguay",1900,NA
"138","Mexico","Chile",1900,NA
"139","Mexico","Argentina",1900,NA
"140","Mexico","Uruguay",1900,NA
"141","Mexico","United Kingdom",1900,2.27
"142","Mexico","Netherlands",1900,NA
"143","Mexico","Belgium",1900,NA
